CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn,ChurnFlag,AgeDataQualityFlag,TenureDataQualityFlag,AgeGroup,TenureSegment,MonthlyChargeBand,AnnualRevenue,ActualMonthlyRevenueLost,ActualAnnualRevenueLost,CustomerLifecycleStage,ChurnProbability,RiskBand,MonthlyRevenueAtRisk,AnnualRevenueAtRisk,MonthlyChargesNormalized,TotalChargesNormalized,TenureNormalized,CustomerValueScore,ValueTier,RetentionPriorityScore,RetentionPriorityRank,PriorityTier,RecommendedAction,InterventionCost,ExpectedSuccessRate,ExpectedRevenueProtected,ExpectedNetBenefit,ExpectedROI,CampaignRank,CumulativeCampaignCost,CampaignRiskTier,CumulativeExpectedRevenueProtected,CumulativeExpectedNetBenefit,IsActionable,ActionableCampaignRank,ActionableCumulativeCost,SelectedUnderBudget_1000,SelectedUnderBudget_2500,SelectedUnderBudget_5000,SelectedUnderBudget_10000,SelectedUnderBudget_15000,SelectedUnderBudget_20000
354,43,Female,12,119.96,Month-to-Month,Fiber Optic,1439.52,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Premium,1439.52,119.96,1439.52,Developing,1.0,Critical,119.96,1439.52,1.0,0.11593838719420115,0.09836065573770492,0.46516859945239664,Top Value,0.7860674397809586,74,High Priority,Contract Upgrade Offer,40,0.2,287.904,247.904,6.1975999999999996,1,40,High,287.904,247.904,True,1.0,40.0,True,True,True,True,True,True
107,63,Male,10,119.9,Month-to-Month,No Internet,1199.0,No,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,Premium,1438.8000000000002,119.9,1438.8000000000002,Developing,1.0,Critical,119.9,1438.8000000000002,0.9993330369052915,0.09656699889258029,0.0819672131147541,0.4540234676532083,Top Value,0.7816093870612832,81,High Priority,Contract Upgrade Offer,40,0.2,287.76000000000005,247.76000000000005,6.194000000000001,2,80,High,575.664,495.66400000000004,True,2.0,80.0,True,True,True,True,True,True
112,44,Female,4,119.79,Month-to-Month,Fiber Optic,479.16,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Premium,1437.48,119.79,1437.48,New,1.0,Critical,119.79,1437.48,0.9981102712316587,0.03859136212624585,0.03278688524590164,0.420947806548325,Top Value,0.76837912261933,113,High Priority,Contract Upgrade Offer,40,0.2,287.49600000000004,247.49600000000004,6.187400000000001,3,120,High,863.1600000000001,743.1600000000001,True,3.0,120.0,True,True,True,True,True,True
148,31,Male,35,119.61,Month-to-Month,No Internet,4186.35,No,Yes,1,Expected Range,Expected Range,25-34,25-48 Months,Premium,1435.32,119.61,1435.32,Established,1.0,Critical,119.61,1435.32,0.9961093819475324,0.3371670190274842,0.2868852459016394,0.5881735209140423,Top Value,0.8352694083656169,22,Immediate Action,Contract Upgrade Offer,40,0.2,287.064,247.06400000000002,6.1766000000000005,4,160,High,1150.2240000000002,990.2240000000002,True,4.0,160.0,True,True,True,True,True,True
764,44,Female,60,119.28,Month-to-Month,No Internet,7156.8,No,Yes,1,Expected Range,Expected Range,35-44,49-72 Months,Premium,1431.3600000000001,119.28,1431.3600000000001,Loyal,1.0,Critical,119.28,1431.3600000000001,0.9924410849266343,0.5764059196617336,0.49180327868852464,0.7216693255243917,Top Value,0.8886677302097566,7,Immediate Action,Contract Upgrade Offer,40,0.2,286.27200000000005,246.27200000000005,6.156800000000001,5,200,High,1436.496,1236.496,True,5.0,200.0,True,True,True,True,True,True
629,45,Female,9,119.13,Month-to-Month,DSL,1072.17,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Premium,1429.56,119.13,1429.56,Developing,1.0,Critical,119.13,1429.56,0.9907736771898623,0.08635215946843854,0.07377049180327869,0.44497534964071805,Top Value,0.7779901398562872,89,High Priority,Contract Upgrade Offer,40,0.2,285.912,245.91199999999998,6.147799999999999,6,240,High,1722.4080000000001,1482.4080000000001,True,6.0,240.0,True,True,True,True,True,True
740,55,Male,6,118.96,Month-to-Month,DSL,713.76,No,Yes,1,Expected Range,Expected Range,55-64,0-6 Months,Premium,1427.52,118.96,1427.52,New,1.0,Critical,118.96,1427.52,0.9888839484215208,0.05748595590456056,0.04918032786885246,0.4279687459024177,Top Value,0.771187498360967,103,High Priority,Contract Upgrade Offer,40,0.2,285.504,245.50400000000002,6.137600000000001,7,280,High,2007.9120000000003,1727.9120000000003,True,7.0,280.0,True,True,True,True,True,True
508,36,Male,64,118.52,Month-to-Month,No Internet,7585.28,No,Yes,1,Expected Range,Expected Range,35-44,49-72 Months,Premium,1422.24,118.52,1422.24,Loyal,1.0,Critical,118.52,1422.24,0.98399288572699,0.6109155340783248,0.5245901639344263,0.7385651322018162,Top Value,0.8954260528807265,5,Immediate Action,Contract Upgrade Offer,40,0.2,284.44800000000004,244.44800000000004,6.111200000000001,8,320,High,2292.36,1972.3600000000004,True,8.0,320.0,True,True,True,True,True,True
149,50,Female,11,118.3,Month-to-Month,DSL,1301.3,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Premium,1419.6,118.3,1419.6,Developing,0.9973809523809524,Critical,117.99016666666667,1415.882,0.9815473543797244,0.10480620155038758,0.09016393442622951,0.4518420959010828,Top Value,0.7791654097890046,88,High Priority,Contract Upgrade Offer,40,0.2,283.1764,243.1764,6.07941,9,360,High,2575.5364,2215.5364000000004,True,9.0,360.0,True,True,True,True,True,True
217,37,Female,11,117.78,Month-to-Month,No Internet,1295.58,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Premium,1413.3600000000001,117.78,1413.3600000000001,Developing,1.0,Critical,117.78,1413.3600000000001,0.9757670075589151,0.1043455149501661,0.09016393442622951,0.4493687168626816,Top Value,0.7797474867450727,85,High Priority,Contract Upgrade Offer,40,0.2,282.672,242.67200000000003,6.066800000000001,10,400,High,2858.2084,2458.2084000000004,True,10.0,400.0,True,True,True,True,True,True
