CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn,ChurnFlag,AgeDataQualityFlag,TenureDataQualityFlag,AgeGroup,TenureSegment,MonthlyChargeBand,AnnualRevenue,ActualMonthlyRevenueLost,ActualAnnualRevenueLost,CustomerLifecycleStage
1,49,Male,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,High,1060.1999999999998,88.35,1060.1999999999998,New
2,43,Male,0,36.67,Month-to-Month,Fiber Optic,0.0,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Low,440.04,36.67,440.04,New
3,51,Female,2,63.79,Month-to-Month,Fiber Optic,127.58,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,765.48,63.79,765.48,New
4,60,Female,8,102.34,One-Year,DSL,818.72,Yes,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,Premium,1228.08,102.34,1228.08,Developing
5,42,Male,32,69.01,Month-to-Month,No Internet,2208.32,No,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,Moderate,828.1200000000001,69.01,828.1200000000001,Established
6,42,Female,16,119.75,Two-Year,DSL,1916.0,Yes,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Premium,1437.0,119.75,1437.0,Developing
7,60,Male,14,80.32,One-Year,No Internet,1124.48,No,Yes,1,Expected Range,Expected Range,55-64,13-24 Months,High,963.8399999999999,80.32,963.8399999999999,Developing
8,52,Female,6,58.9,One-Year,No Internet,353.4,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,706.8,58.9,706.8,New
9,40,Female,53,49.81,Two-Year,Fiber Optic,2639.9300000000003,Yes,No,0,Expected Range,Expected Range,35-44,49-72 Months,Low,597.72,0.0,0.0,Loyal
10,50,Female,10,61.55,Month-to-Month,Fiber Optic,615.5,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,738.5999999999999,61.55,738.5999999999999,Developing
11,40,Female,1,63.53,Month-to-Month,Fiber Optic,63.53,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Moderate,762.36,63.53,762.36,New
12,40,Female,19,36.18,One-Year,Fiber Optic,687.42,Yes,No,0,Expected Range,Expected Range,35-44,13-24 Months,Low,434.15999999999997,0.0,0.0,Developing
13,47,Male,2,63.26,Two-Year,No Internet,126.52,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,759.12,63.26,759.12,New
14,25,Female,8,71.78,One-Year,No Internet,574.24,No,Yes,1,Expected Range,Expected Range,25-34,7-12 Months,Moderate,861.36,71.78,861.36,Developing
15,27,Male,14,95.05,Month-to-Month,Fiber Optic,1330.7,Yes,Yes,1,Expected Range,Expected Range,25-34,13-24 Months,High,1140.6,95.05,1140.6,Developing
16,39,Female,41,89.11,Two-Year,Fiber Optic,3653.51,Yes,No,0,Expected Range,Expected Range,35-44,25-48 Months,High,1069.32,0.0,0.0,Established
17,34,Female,13,93.79,Month-to-Month,No Internet,1219.27,No,Yes,1,Expected Range,Expected Range,25-34,13-24 Months,High,1125.48,93.79,1125.48,Developing
18,48,Female,24,30.75,Two-Year,No Internet,738.0,No,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,Low,369.0,30.75,369.0,Developing
